Connecting to host 10.1.1.3, port 5010
[  4] local 10.1.1.2 port 41286 connected to 10.1.1.3 port 5010
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  22.00-22.10  sec  2.50 MBytes   210 Mbits/sec    0    300 KBytes       
[  4]  22.10-22.20  sec  2.50 MBytes   209 Mbits/sec    0    305 KBytes       
[  4]  22.20-22.30  sec  2.50 MBytes   211 Mbits/sec    0    313 KBytes       
[  4]  22.30-22.40  sec  1.25 MBytes   105 Mbits/sec    0    318 KBytes       
[  4]  22.40-22.50  sec  2.50 MBytes   210 Mbits/sec    4    279 KBytes       
[  4]  22.50-22.60  sec  2.50 MBytes   209 Mbits/sec    0    230 KBytes       
[  4]  22.60-22.70  sec  1.25 MBytes   105 Mbits/sec    0    235 KBytes       
[  4]  22.70-22.80  sec  2.50 MBytes   209 Mbits/sec    0    240 KBytes       
[  4]  22.80-22.90  sec  1.25 MBytes   105 Mbits/sec    0    246 KBytes       
[  4]  22.90-23.00  sec  2.50 MBytes   210 Mbits/sec    0    253 KBytes       
[  4]  23.00-23.10  sec  1.25 MBytes   105 Mbits/sec    0    257 KBytes       
[  4]  23.10-23.20  sec  2.50 MBytes   209 Mbits/sec    0    264 KBytes       
[  4]  23.20-23.30  sec  2.50 MBytes   209 Mbits/sec    0    270 KBytes       
[  4]  23.30-23.40  sec  1.25 MBytes   105 Mbits/sec    0    276 KBytes       
[  4]  23.40-23.50  sec  2.50 MBytes   211 Mbits/sec    0    283 KBytes       
[  4]  23.50-23.60  sec  2.50 MBytes   210 Mbits/sec    0    287 KBytes       
[  4]  23.60-23.70  sec  1.25 MBytes   105 Mbits/sec    0    294 KBytes       
[  4]  23.70-23.80  sec  2.50 MBytes   210 Mbits/sec    0    298 KBytes       
[  4]  23.80-23.90  sec  2.50 MBytes   210 Mbits/sec    0    305 KBytes       
[  4]  23.90-24.00  sec  2.50 MBytes   210 Mbits/sec    0    311 KBytes       
[  4]  24.00-24.10  sec  2.50 MBytes   210 Mbits/sec    0    317 KBytes       
[  4]  24.10-24.20  sec  2.50 MBytes   210 Mbits/sec    0    324 KBytes       
[  4]  24.20-24.30  sec  2.50 MBytes   210 Mbits/sec    4    238 KBytes       
[  4]  24.30-24.40  sec  1.25 MBytes   105 Mbits/sec    0    235 KBytes       
[  4]  24.40-24.50  sec  2.50 MBytes   208 Mbits/sec    0    239 KBytes       
[  4]  24.50-24.60  sec  1.25 MBytes   105 Mbits/sec    0    245 KBytes       
[  4]  24.60-24.70  sec  2.50 MBytes   210 Mbits/sec    0    250 KBytes       
[  4]  24.70-24.80  sec  1.25 MBytes   105 Mbits/sec    0    257 KBytes       
[  4]  24.80-24.90  sec  2.50 MBytes   210 Mbits/sec    0    263 KBytes       
[  4]  24.90-25.00  sec  2.50 MBytes   209 Mbits/sec    0    269 KBytes       
[  4]  25.00-25.10  sec  1.25 MBytes   105 Mbits/sec    0    276 KBytes       
[  4]  25.10-25.20  sec  2.50 MBytes   210 Mbits/sec    0    280 KBytes       
[  4]  25.20-25.30  sec  2.50 MBytes   210 Mbits/sec    0    286 KBytes       
[  4]  25.30-25.40  sec  1.25 MBytes   105 Mbits/sec    0    291 KBytes       
[  4]  25.40-25.50  sec  2.50 MBytes   210 Mbits/sec    0    297 KBytes       
[  4]  25.50-25.60  sec  2.50 MBytes   209 Mbits/sec    0    304 KBytes       
[  4]  25.60-25.70  sec  2.50 MBytes   210 Mbits/sec    0    308 KBytes       
[  4]  25.70-25.80  sec  2.50 MBytes   210 Mbits/sec    0    315 KBytes       
[  4]  25.80-25.90  sec  2.50 MBytes   209 Mbits/sec    0    321 KBytes       
[  4]  25.90-26.00  sec  1.25 MBytes   105 Mbits/sec    5    228 KBytes       
[  4]  26.00-26.10  sec  2.50 MBytes   210 Mbits/sec    0    233 KBytes       
[  4]  26.10-26.20  sec  1.25 MBytes   105 Mbits/sec    0    239 KBytes       
[  4]  26.20-26.30  sec  2.50 MBytes   210 Mbits/sec    0    246 KBytes       
[  4]  26.30-26.40  sec  1.25 MBytes   105 Mbits/sec    0    250 KBytes       
[  4]  26.40-26.50  sec  2.50 MBytes   210 Mbits/sec    0    256 KBytes       
[  4]  26.50-26.60  sec  2.50 MBytes   210 Mbits/sec    0    263 KBytes       
[  4]  26.60-26.70  sec  1.25 MBytes   105 Mbits/sec    0    267 KBytes       
[  4]  26.70-26.80  sec  2.50 MBytes   210 Mbits/sec    3    191 KBytes       
[  4]  26.80-26.90  sec  1.25 MBytes   105 Mbits/sec    0    197 KBytes       
[  4]  26.90-27.00  sec  1.25 MBytes   105 Mbits/sec    0    201 KBytes       
[  4]  27.00-27.10  sec  2.50 MBytes   211 Mbits/sec    0    208 KBytes       
[  4]  27.10-27.20  sec  1.25 MBytes   105 Mbits/sec    0    214 KBytes       
[  4]  27.20-27.30  sec  1.25 MBytes   105 Mbits/sec    0    219 KBytes       
[  4]  27.30-27.40  sec  2.50 MBytes   210 Mbits/sec    0    226 KBytes       
[  4]  27.40-27.50  sec  1.25 MBytes   105 Mbits/sec    0    232 KBytes       
[  4]  27.50-27.60  sec  1.25 MBytes   105 Mbits/sec    0    238 KBytes       
[  4]  27.60-27.70  sec  2.50 MBytes   211 Mbits/sec    0    243 KBytes       
[  4]  27.70-27.80  sec  1.25 MBytes   104 Mbits/sec    2    174 KBytes       
[  4]  27.80-27.90  sec  1.25 MBytes   105 Mbits/sec    0    180 KBytes       
[  4]  27.90-28.00  sec  1.25 MBytes   105 Mbits/sec    0    185 KBytes       
[  4]  28.00-28.10  sec  2.50 MBytes   211 Mbits/sec    0    192 KBytes       
[  4]  28.10-28.20  sec  1.25 MBytes   105 Mbits/sec    0    198 KBytes       
[  4]  28.20-28.30  sec  1.25 MBytes   105 Mbits/sec    0    204 KBytes       
[  4]  28.30-28.40  sec  1.25 MBytes   105 Mbits/sec    0    211 KBytes       
[  4]  28.40-28.50  sec  2.50 MBytes   209 Mbits/sec    0    215 KBytes       
[  4]  28.50-28.60  sec  1.25 MBytes   105 Mbits/sec    0    222 KBytes       
[  4]  28.60-28.70  sec  1.25 MBytes   105 Mbits/sec    0    228 KBytes       
[  4]  28.70-28.80  sec  2.50 MBytes   210 Mbits/sec    0    233 KBytes       
[  4]  28.80-28.90  sec  1.25 MBytes   105 Mbits/sec    0    239 KBytes       
[  4]  28.90-29.00  sec  2.50 MBytes   209 Mbits/sec    0    245 KBytes       
[  4]  29.00-29.10  sec  1.25 MBytes   105 Mbits/sec    4    174 KBytes       
[  4]  29.10-29.20  sec  1.25 MBytes   104 Mbits/sec    0    180 KBytes       
[  4]  29.20-29.30  sec  1.25 MBytes   105 Mbits/sec    0    185 KBytes       
[  4]  29.30-29.40  sec  1.25 MBytes   105 Mbits/sec    0    191 KBytes       
[  4]  29.40-29.50  sec  2.50 MBytes   211 Mbits/sec    0    197 KBytes       
[  4]  29.50-29.60  sec  1.25 MBytes   104 Mbits/sec    0    204 KBytes       
[  4]  29.60-29.70  sec  1.25 MBytes   105 Mbits/sec    0    209 KBytes       
[  4]  29.70-29.80  sec  1.25 MBytes   105 Mbits/sec    0    215 KBytes       
[  4]  29.80-29.90  sec  2.50 MBytes   210 Mbits/sec    0    222 KBytes       
